Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgp_ncventmamen2mes;vgp_ncventmamay2mes;vgp_ncventhemmen2mes;vgp_ncventhemay2mes;vgp_totsacrif;ventasm2m;ventasmy2m;TOTAL;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;fact_exp_fin
01075001167260001; AZUAY;01;16726;0001; ; ; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;43,4080288631701
01016101170850001; AZUAY;01;17085;0001; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;21,2751444425902
01016101170850003; AZUAY;01;17085;0003; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8,62012610486132
01095601174830007; AZUAY;01;17483;0007;4; ;5; ;2;9; ;9;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;74,6761885186109
01095601174830009; AZUAY;01;17483;0009; ; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;78,2807967070191
01025001177430001; AZUAY;01;17743;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;48,1787335102487
01025001177540001; AZUAY;01;17754;0001; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5,50792427283834
01025001179590003; AZUAY;01;17959;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;12,6700950376338
01075001180090004; AZUAY;01;18009;0004; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,609567922315077
01075001180320003; AZUAY;01;18032;0003; ; ; ; ;0; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1,2737628926254
01025001180700002; AZUAY;01;18070;0002; ;1; ; ;1; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;9,29106319266803
01025001180700003; AZUAY;01;18070;0003;3;1; ; ; ;3;1;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7,12358984744922
01095601183230001; AZUAY;01;18323;0001; ;1; ; ; ; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;65,8971448381084
