Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgv_ncmterne;vgv_ncmtoret;vgv_ncmtoros;vgv_nchterne;vgv_nchvacon;vgv_nchvacas;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;subtotal_machos;subtotal_hembras;TOTAL;fact_exp_fin
01015701042390001; AZUAY;01;04239;0001; ; ;8; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8; ;8;12,0946076590612
01015901044310004; AZUAY;01;04431;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;67,4779228420817
01015901044310011; AZUAY;01;04431;0011; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;73,524331698899
01015901044310014; AZUAY;01;04431;0014; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;85,7449348196379
01015701045480001; AZUAY;01;04548;0001; ; ; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;39,769029140029
01145001046320002; AZUAY;01;04632;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;52,355554539633
01015701046750001; AZUAY;01;04675;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;2,3581950954727
01125001047530001; AZUAY;01;04753;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;29,4186588025267
01125001047530006; AZUAY;01;04753;0006;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;2,02918392528094
01125001047530007; AZUAY;01;04753;0007; ; ; ;4; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;,43995325376501
01125001047640001; AZUAY;01;04764;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;12,1490501664355
01125001047640002; AZUAY;01;04764;0002; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;21,0713435297738
01125001047640003; AZUAY;01;04764;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;31,5001700507489
01016601049400004; AZUAY;01;04940;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;75,8914101650226
01016601049400005; AZUAY;01;04940;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;20,2715343716992
01015701049500001; AZUAY;01;04950;0001; ;20; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;20; ;20;10,7106117569166
01015701052410001; AZUAY;01;05241;0001; ;10; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10; ;10;18,6432839476665
01135001053250001; AZUAY;01;05325;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;32,3339731733824
01135001053250002; AZUAY;01;05325;0002;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;36,4395382067788
01135001053250003; AZUAY;01;05325;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;43,5587084208687
01135001053250004; AZUAY;01;05325;0004;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;70,9779990698329
01135001053250005; AZUAY;01;05325;0005;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;,505102249873559
01135001053250006; AZUAY;01;05325;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;25,7833374685977
01135001053250007; AZUAY;01;05325;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,358222675799733
01135001053250008; AZUAY;01;05325;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;4,72001688304426
01015701053970001; AZUAY;01;05397;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;41,1384860663386
01016201054340006; AZUAY;01;05434;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;51,3040802299046
01016201054340007; AZUAY;01;05434;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;44,4679608719742
01016201054340008; AZUAY;01;05434;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;67,3477043541054
01125301054980001; AZUAY;01;05498;0001;4;3; ;2; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7;3;10;25,4508230798141
01055401055550001; AZUAY;01;05555;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;19,6229090322469
01055401055550007; AZUAY;01;05555;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;20,5024585101597
01055401055550008; AZUAY;01;05555;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;40,2071649159347
01055401055550009; AZUAY;01;05555;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,199110272561079
01125301056940001; AZUAY;01;05694;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;42,8641591906768
01125301056940002; AZUAY;01;05694;0002; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;28,3187798721587
01125301056940003; AZUAY;01;05694;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;32,924686871086
01125301056940004; AZUAY;01;05694;0004; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;38,8444410118032
01125301056940005; AZUAY;01;05694;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;21,2434193055767
01016701057660001; AZUAY;01;05766;0001; ; ; ; ;1;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;7,66285105759067
01016701057660002; AZUAY;01;05766;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;29,9967606826722
01016701057660003; AZUAY;01;05766;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;23,8016877544278
01016701057660004; AZUAY;01;05766;0004;1; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;31,7906646190028
01016701057660011; AZUAY;01;05766;0011; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;14,2991403661025
