Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k409ha;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;pc_nclavr;pc_trs;pc_trc;pc_tro;pc_znd;pc_tn;Brachiaria;Gramalote;Pasto_miel;Saboya;Otros_pastos;Pasto_mixto;Total;fact_exp_fin
01015201160130001; AZUAY;01;16013;0001;1;PASTO MIXTO;4;1;1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1;1;60,5617412554242
01015201160130002; AZUAY;01;16013;0002;1;PASTO MIXTO;2;1;1;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;1;1;28,8508348986605
01015201160130004; AZUAY;01;16013;0004;1;KIKUYO;1;1;2,6;2; ;NO; ; ; ; ; ; ; ;SI;SI;5;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;780;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;2,6; ;2,6;100,587684258443
01015201160130005; AZUAY;01;16013;0005;1;PASTO MIXTO;1;1;,5;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,5;,5;91,3265403237659
01015201164910001; AZUAY;01;16491;0001;1;PASTO MIXTO;1;1;2,3;2; ;SI;2,3; ;100; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,3;2,3;148,435542037485
01015201164910002; AZUAY;01;16491;0002;1;PASTO MIXTO;1;1;3;2; ;SI;3; ;100; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;3;QUINTAL; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3;3;75,1993406152757
01015201166390001; AZUAY;01;16639;0001;1;PASTO MIXTO;1;1;17;2; ;NO; ; ; ; ; ; ; ;SI;SI;120;QUINTAL; ; ; ; ;SI;10;QUINTAL; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;17;17;16,6776325946356
01015201172420001; AZUAY;01;17242;0001;1;PASTO MIXTO;2;1;2,35;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;2,35;2,35;2,11537012976238
01015201172420001; AZUAY;01;17242;0001;2;PASTO MIXTO;4;1;,2;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,2;,2;51,3704503207583
01015201172420001; AZUAY;01;17242;0001;3;PASTO MIXTO;6;1;3,25;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;3,25;3,25;15,4856738136478
01015201172420002; AZUAY;01;17242;0002;1;PASTO MIXTO;1;1;,22;2; ;NO; ; ; ; ; ; ; ;SI;SI;20;QUINTAL; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ;1;764;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ;,22;,22;94,1550243428979
