Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgo_ncventmamen6mes;vgo_ncventmamas6mes;vgo_ncventhemmen6mes;vgo_ncventhemmas6mes;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;vm6m;vmy6m;TOTAL;fact_exp_fin
05055001171160001;COTOPAXI;01;17116;0001; ;17; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;17;17;7,59249028144644
05045001192020003;COTOPAXI;01;19202;0003; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;30,1055192726761
05055001192780007;COTOPAXI;01;19278;0007; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;44,6691511558432
05055301202570021;COTOPAXI;01;20257;0021;0;1;0;0;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;14,6214986861228
05055201208650008;COTOPAXI;01;20865;0008; ;0;1;0;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;0;1;,0577769992149095
05045101210520001;COTOPAXI;01;21052;0001; ;25; ;10;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;35;35;14,7355415730759
05055201210750013;COTOPAXI;01;21075;0013;0;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;46,7111956303351
05055201211430002;COTOPAXI;01;21143;0002;0;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;59,0898210304039
05055201211430003;COTOPAXI;01;21143;0003;0;0;0;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;81,5939622246111
05045101221400003;COTOPAXI;01;22140;0003; ; ;1;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;14,512625841899
05035001232250003;COTOPAXI;01;23225;0003; ;3; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;5;5;34,9876414055302
05045303004180001;COTOPAXI;03;00418;0001;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;23,7144851949631
05045303004180002;COTOPAXI;03;00418;0002; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;41,4789975138791
05045303004180006;COTOPAXI;03;00418;0006; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;20,9056451366416
05045303004180008;COTOPAXI;03;00418;0008; ; ;10; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10; ;10;15,939634761824
05045303004180022;COTOPAXI;03;00418;0022; ;4; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;10;10;74,8275911691909
05045303004180024;COTOPAXI;03;00418;0024; ;8; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;8;8;32,0813630627564
05045103006550001;COTOPAXI;03;00655;0001; ; ;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;44,4074572958852
05015804000700010;COTOPAXI;04;00070;0010; ;2; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;6;6;7,53784361262248
05015804000700014;COTOPAXI;04;00070;0014;3; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;4;18,1308540289872
06075401016110002;CHIMBORAZO;01;01611;0002;0; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;57,3203994707835
06075401017700002;CHIMBORAZO;01;01770;0002;0; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;2;2;7,28099503700974
06075401017700007;CHIMBORAZO;01;01770;0007; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;9,72668205435115
06075401019240016;CHIMBORAZO;01;01924;0016; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;36,2837131388132
06075401019240023;CHIMBORAZO;01;01924;0023; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;60,1459749328074
06095201020320006;CHIMBORAZO;01;02032;0006;3; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;4;6,56732236173441
06075401021180010;CHIMBORAZO;01;02118;0010;0; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;50,2088138569523
06075401021180012;CHIMBORAZO;01;02118;0012;0; ; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;4;4;63,8350525878476
06075401021180041;CHIMBORAZO;01;02118;0041; ; ;5; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5; ;5;91,1996032948548
06015201030950017;CHIMBORAZO;01;03095;0017;0;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;5;5;33,580464955584
06015201030950022;CHIMBORAZO;01;03095;0022;3; ;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;6; ;6;35,3030722431696
06015901036090008;CHIMBORAZO;01;03609;0008;1; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;35,7410918432237
06035001045140007;CHIMBORAZO;01;04514;0007; ; ; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;19,1224974650502
06035001047640003;CHIMBORAZO;01;04764;0003; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;37,2643540344568
06035001051270002;CHIMBORAZO;01;05127;0002; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;31,0601659680183
06045001054500028;CHIMBORAZO;01;05450;0028; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;65,3760597095733
06035401059720001;CHIMBORAZO;01;05972;0001;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;16,2987047870006
06035401069380001;CHIMBORAZO;01;06938;0001; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;65,4049020888569
06035401069380003;CHIMBORAZO;01;06938;0003; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;88,2073913312243
06035401069380009;CHIMBORAZO;01;06938;0009; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;50,0359066826384
06035401069380020;CHIMBORAZO;01;06938;0020; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;30,1650664237411
06015701070720006;CHIMBORAZO;01;07072;0006;0; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;2;2;45,9724451877719
06015701070720029;CHIMBORAZO;01;07072;0029;0; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;1;1;10,1664510244018
06015601070740018;CHIMBORAZO;01;07074;0018; ;2; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;4;4;12,4601055703542
06035201074070002;CHIMBORAZO;01;07407;0002; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;37,0743073492545
06035201078000040;CHIMBORAZO;01;07800;0040; ; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;102,073821226547
06035201080750003;CHIMBORAZO;01;08075;0003; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;68,9014016635326
06035201080750004;CHIMBORAZO;01;08075;0004; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;20,9891560120209
06035201080750007;CHIMBORAZO;01;08075;0007;1; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;2;3;41,8772888075643
06035201080750012;CHIMBORAZO;01;08075;0012; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;29,9196918781192
06035201080840002;CHIMBORAZO;01;08084;0002; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;63,2409054190585
06065001102650004;CHIMBORAZO;01;10265;0004;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;51,6166797009305
06065001102650008;CHIMBORAZO;01;10265;0008;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;46,966755623173
06085001104340001;CHIMBORAZO;01;10434;0001; ;0;0;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;0;2;2;9,50320359691891
06065201114250009;CHIMBORAZO;01;11425;0009; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;17,9440079676539
06065201114250010;CHIMBORAZO;01;11425;0010; ;1; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;46,5552979047211
06065201114250011;CHIMBORAZO;01;11425;0011; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;17,8511576779499
